NAME_1;Region;Pop2016
Adygey;Республика Адыгея;18,2
Altay;Республика Алтай;11,9
Amur;Амурская область;24,6
Arkhangel'sk;Архангельская область;42,2
Astrakhan';Астраханская область;40
Bashkortostan;Республика Башкортостан;116
Belgorod;Белгородская область;32,5
Bryansk;Брянская область;28,7
Buryat;Республика Бурятия;43,5
Chechnya;Чеченская Республика;98,1
Chelyabinsk;Челябинская область;130,5
Chukot;Чукотский автономный округ;1,1
Chuvash;Чувашская Республика;33,9
City of St. Petersburg;г.Санкт-Петербург;49,8
Dagestan;Республика Дагестан;146,2
Gorno-Altay;Горный Алтай;11,3
Ingush;Республика Ингушетия;69,8
Irkutsk;Иркутская область;110,2
Ivanovo;Ивановская область;29,9
Kabardin-Balkar;Кабардино-Балкарская Республика;44,5
Kaliningrad;Калининградская область;31,5
Kalmyk;Республика Калмыкия;15,3
Kaluga;Калужская область;22,7
Kamchatka;Камчатский край;7,6
Karachay-Cherkess;Карачаево-Черкесская Республика;30,9
Karelia;Республика Карелия;30,2
Kemerovo;Кемеровская область;107,7
Khabarovsk;Хабаровский край;36,6
Khakass;Республика Хакасия;16,3
Khanty-Mansiy;Ханты-Мансийский автономный округ - Югра;41,7
Kirov;Кировская область;36,5
Komi;Республика Коми;40,4
Kostroma;Костромская область;18,1
Krasnodar;Краснодарский край;159,5
Krasnoyarsk;Красноярский край;90,2
Kurgan;Курганская область;34,5
Kursk;Курская область;24,4
Leningrad;Ленинградская область;44,3
Lipetsk;Липецкая область;23,6
Maga Buryatdan;Магаданская область;4
Mariy-El;Республика Марий Эл;21,3
Mordovia;Республика Мордовия;18,8
Moscow City;г. Москва;127,1
Moskva;Московская область;133,2
Murmansk;Мурманская область;34,3
Nenets;Ненецкий автономный округ;2
Nizhegorod;Нижегородская область;76,3
North Ossetia;Республика Северная Осетия - Алания;31,9
Novgorod;Новгородская область;15,6
Novosibirsk;Новосибирская область;107,6
Omsk;Омская область;75,7
Orel;Орловская область;24,7
Orenburg;Оренбургская область;50
Penza;Пензенская область;32,7
Perm';Пермский край;76,5
Primor'ye;Приморский край;62,8
Pskov;Псковская область;22,3
Rostov;Ростовская область;125,9
Ryazan';Рязанская область;23,8
Sakhalin;Сахалинская область;17,6
Sakha;Республика Саха (Якутия);35
Samara;Самарская область;71,9
Saratov;Саратовская область;63,7
Smolensk;Смоленская область;31,4
Stavropol';Ставропольский край;78,3
Sverdlovsk;Свердловская область;137,7
Sverdlovsk;Свердловская область;137,7
Sverdlovsk;Свердловская область;137,7
Tambov;Тамбовская область;23,6
Tatarstan;Республика Татарстан;77,5
Tomsk;Томская область;39,7
Tula;Тульская область;33
Tuva;Республика Тыва;21,3
Tver';Тверская область;39,9
Tyumen';Тюменская область;90,3
Udmurt;Удмуртская Республика;42,3
Ul'yanovsk;Ульяновская область;29,7
Vladimir;Владимирская область;41
Volgograd;Волгоградская область;88
Vologda;Вологодская область;40,2
Voronezh;Воронежская область;52,3
Yamal-Nenets;Ямало-Ненецкий автономный округ;8,4
Yaroslavl';Ярославская область;45,2
Yevrey;Еврейская автономная область;6,9
Zabaykal'ye;Забайкальский край;57,6
